Timestamp,k_d_1,k_v_1,k_d_2,k_v_2,k_d_3,k_v_3
1730865946.3340743,2.000624895095825,2.0,2.000624895095825,2.0,2.000624895095825,2.0
1730865946.8840554,3.003124952316284,3.0,3.003124952316284,3.0,3.003124952316284,3.0
1730865947.2339377,4.008749961853027,4.0,4.008749961853027,4.0,4.008749961853027,4.0
1730865947.2838902,5.018750190734863,5.0,5.018750190734863,5.0,5.018750190734863,5.0
1730865947.3337905,6.034375190734863,6.0,6.034375190734863,6.0,6.034375190734863,6.0
1730865947.3838024,7.056875228881836,7.0,7.056875228881836,7.0,7.056875228881836,7.0
1730865947.4338114,8.087499618530273,8.0,8.087499618530273,8.0,8.087499618530273,8.0
1730865947.4836771,9.1274995803833,9.0,9.1274995803833,9.0,9.1274995803833,9.0
1730865947.5337312,10.178125381469727,10.0,10.178125381469727,10.0,10.178125381469727,10.0
1730865947.5837328,11.240625381469727,11.0,11.240625381469727,11.0,11.240625381469727,11.0
1730865947.6336718,12.31624984741211,12.0,12.31624984741211,12.0,12.31624984741211,12.0
1730865947.6836586,13.40625,13.0,13.40625,13.0,13.40625,13.0
1730865947.7336457,14.51187515258789,14.0,14.51187515258789,14.0,14.51187515258789,14.0
1730865947.7836764,15.634374618530273,15.0,15.634374618530273,15.0,15.634374618530273,15.0
1730865947.8337014,16.774999618530273,16.0,16.774999618530273,16.0,16.774999618530273,16.0
1730865947.8835726,17.934999465942383,17.0,17.934999465942383,17.0,17.934999465942383,17.0
1730865947.9345996,19.115625381469727,18.0,19.115625381469727,18.0,19.115625381469727,18.0
1730865947.9846032,20.318124771118164,19.0,20.318124771118164,19.0,20.318124771118164,19.0
1730865948.034629,21.543750762939453,20.0,21.543750762939453,20.0,21.543750762939453,20.0
1730865948.0845356,22.793750762939453,21.0,22.793750762939453,21.0,22.793750762939453,21.0
1730865948.1347377,24.069374084472656,22.0,24.069374084472656,22.0,24.069374084472656,22.0
1730865948.1846237,25.371875762939453,23.0,25.371875762939453,23.0,25.371875762939453,23.0
1730865948.2345996,26.702499389648438,24.0,26.702499389648438,24.0,26.702499389648438,24.0
1730865948.2835228,28.0625,25.0,28.0625,25.0,28.0625,25.0
1730865948.3344536,29.453125,26.0,29.453125,26.0,29.453125,26.0
1730865948.3844686,30.875625610351562,27.0,30.875625610351562,27.0,30.875625610351562,27.0
1730865948.4344435,32.33124923706055,28.0,32.33124923706055,28.0,32.33124923706055,28.0
1730865948.4846096,33.821250915527344,29.0,33.821250915527344,29.0,33.821250915527344,29.0
1730865948.5345068,35.34687423706055,30.0,35.34687423706055,30.0,35.34687423706055,30.0
1730865948.5845046,36.90937423706055,31.0,36.90937423706055,31.0,36.90937423706055,31.0
1730865948.6345894,38.5099983215332,32.0,38.5099983215332,32.0,38.5099983215332,32.0
1730865948.6844258,40.150001525878906,33.0,40.150001525878906,33.0,40.150001525878906,33.0
1730865948.7343395,41.830623626708984,34.0,41.830623626708984,34.0,41.830623626708984,34.0
1730865948.7843802,43.553123474121094,35.0,43.553123474121094,35.0,43.553123474121094,35.0
1730865948.8343627,45.318748474121094,36.0,45.318748474121094,36.0,45.318748474121094,36.0
1730865948.8843756,47.12874984741211,37.0,47.12874984741211,37.0,47.12874984741211,37.0
1730865948.9342463,48.984375,38.0,48.984375,38.0,48.984375,38.0
1730865948.9843962,50.88687515258789,39.0,50.88687515258789,39.0,50.88687515258789,39.0
1730865949.0343103,52.837501525878906,40.0,52.837501525878906,40.0,52.837501525878906,40.0
1730865949.084335,54.837501525878906,41.0,54.837501525878906,41.0,54.837501525878906,41.0
1730865949.1342292,56.888126373291016,42.0,56.888126373291016,42.0,56.888126373291016,42.0
1730865949.1843033,58.990623474121094,43.0,58.990623474121094,43.0,58.990623474121094,43.0
1730865949.2342906,61.1462516784668,44.0,61.1462516784668,44.0,61.1462516784668,44.0
1730865949.2843397,63.35625076293945,45.0,63.35625076293945,45.0,63.35625076293945,45.0
1730865949.3341703,65.62187194824219,46.0,65.62187194824219,46.0,65.62187194824219,46.0
1730865949.3842542,67.94437408447266,47.0,67.94437408447266,47.0,67.94437408447266,47.0
1730865949.4341888,70.32499694824219,48.0,70.32499694824219,48.0,70.32499694824219,48.0
1730865949.4842129,72.76499938964844,49.0,72.76499938964844,49.0,72.76499938964844,49.0
1730865949.5342839,75.265625,50.0,75.265625,50.0,75.265625,50.0
1730865949.5842733,77.828125,51.0,77.828125,51.0,77.828125,51.0
1730865949.634126,80.45375061035156,52.0,80.45375061035156,52.0,80.45375061035156,52.0
1730865949.684152,83.14375305175781,53.0,83.14375305175781,53.0,83.14375305175781,53.0
1730865949.734146,85.89937591552734,54.0,85.89937591552734,54.0,85.89937591552734,54.0
1730865949.7841535,88.72187805175781,55.0,88.72187805175781,55.0,88.72187805175781,55.0
1730865949.8341901,91.61250305175781,56.0,91.61250305175781,56.0,91.61250305175781,56.0
1730865949.8841543,94.57250213623047,57.0,94.57250213623047,57.0,94.57250213623047,57.0
1730865949.9341342,97.6031265258789,58.0,97.6031265258789,58.0,97.6031265258789,58.0
1730865949.984129,100.70562744140625,59.0,100.70562744140625,59.0,100.70562744140625,59.0
1730865950.0342054,103.8812484741211,60.0,103.8812484741211,60.0,103.8812484741211,60.0
1730865950.0840492,107.1312484741211,61.0,107.1312484741211,61.0,107.1312484741211,61.0
1730865950.1340241,110.45687866210938,62.0,110.45687866210938,62.0,110.45687866210938,62.0
1730865950.1840804,113.859375,63.0,113.859375,63.0,113.859375,63.0
1730865950.2339597,117.33999633789062,64.0,117.33999633789062,64.0,117.33999633789062,64.0
1730865950.2839465,120.9000015258789,65.0,120.9000015258789,65.0,120.9000015258789,65.0
1730865950.3339956,124.5406265258789,66.0,124.5406265258789,66.0,124.5406265258789,66.0
1730865950.3840535,128.26312255859375,67.0,128.26312255859375,67.0,128.26312255859375,67.0
1730865950.4339852,132.06875610351562,68.0,132.06875610351562,68.0,132.06875610351562,68.0
