Timestamp,k_d_1,k_v_1,k_d_2,k_v_2,k_d_3,k_v_3
1739326269.6968546,3.0702059268951416,2.0,3.0702059268951416,2.0,3.0702059268951416,2.0
1739326269.7467446,4.162710666656494,3.0,4.162710666656494,3.0,4.162710666656494,3.0
1739326269.7968717,5.203243732452393,4.0,5.203243732452393,4.0,5.203243732452393,4.0
1739326269.8467267,6.2510085105896,5.0,6.2510085105896,5.0,6.2510085105896,5.0
1739326269.8969088,7.306528091430664,6.0,7.306528091430664,6.0,7.306528091430664,6.0
1739326269.946751,8.34217357635498,7.0,8.34217357635498,7.0,8.34217357635498,7.0
1739326269.9970973,9.452010154724121,8.0,9.452010154724121,8.0,9.452010154724121,8.0
1739326270.047261,10.524470329284668,9.0,10.524470329284668,9.0,10.524470329284668,9.0
1739326270.0967195,11.775026321411133,10.0,11.775026321411133,10.0,11.775026321411133,10.0
1739326270.1467938,12.835989952087402,11.0,12.835989952087402,11.0,12.835989952087402,11.0
1739326270.196621,13.902177810668945,12.0,13.902177810668945,12.0,13.902177810668945,12.0
1739326270.2967584,15.11724853515625,13.0,15.11724853515625,13.0,15.11724853515625,13.0
1739326270.3467457,16.28447723388672,14.0,16.28447723388672,14.0,16.28447723388672,14.0
1739326270.396623,17.406068801879883,15.0,17.406068801879883,15.0,17.406068801879883,15.0
1739326270.4471676,18.63387680053711,16.0,18.63387680053711,16.0,18.63387680053711,16.0
1739326270.4967494,20.040494918823242,17.0,20.040494918823242,17.0,20.040494918823242,17.0
1739326270.546693,21.38304328918457,18.0,21.38304328918457,18.0,21.38304328918457,18.0
1739326270.5970407,22.898950576782227,19.0,22.898950576782227,19.0,22.898950576782227,19.0
1739326270.6467674,24.343700408935547,20.0,24.343700408935547,20.0,24.343700408935547,20.0
1739326270.696653,25.5976505279541,21.0,25.5976505279541,21.0,25.5976505279541,21.0
1739326270.7966535,28.10664939880371,22.0,28.10664939880371,22.0,28.10664939880371,22.0
1739326270.996688,29.295265197753906,23.0,29.295265197753906,23.0,29.295265197753906,23.0
