X,Y,Z
-0.21488234,0.023728957,0.00013928971
-0.7372711,-0.058569327,-6.3037834e-05
-0.37095544,-0.032626893,-1.9863697e-05
0.6361074,0.040425528,-0.0002171556
0.40839022,0.02751558,-0.00012785709
0.2823313,0.013212697,-0.0001158632
0.2965325,0.015479218,-0.00010097779
0.25380772,0.022341201,-6.7196925e-05
0.26146856,0.02088033,-0.000118323274
0.28129905,0.008790741,-8.9474794e-05
0.22862335,0.016746147,-6.40545e-05
0.2660263,0.018548794,-5.486238e-06
0.2533379,0.0218694,-7.5532465e-05
0.23901424,0.017223421,-6.7322806e-05
0.25630212,0.014677771,-0.00012354257
0.24303944,0.023294019,-6.91397e-05
0.24413882,0.022713093,-8.093253e-05
0.22732124,0.01919487,-6.725016e-05
0.24484453,0.015418755,-0.00014876002
0.21413438,0.019034062,-3.9701223e-05
0.22967687,0.024094095,-7.878788e-05
0.2355627,0.019713081,-0.00012742152
0.21997948,0.018857922,-8.597867e-05
0.2231705,0.020275667,-0.00010014515
0.23163062,0.021714201,-0.00013908108
0.21854463,0.021054283,-7.028852e-05
0.22280395,0.01600392,-8.6863474e-05
0.22166398,0.019246312,-4.2579315e-05
0.21890847,0.02181587,-0.000100908575
0.2164181,0.016976181,-8.3283e-05
0.21574299,0.01488038,-5.5021897e-05
0.2145131,0.019378973,-9.780707e-05
0.20543315,0.020664074,-9.232676e-06
0.21989664,0.017944386,-2.3072633e-05
0.21213077,0.014329134,-6.8756824e-05
0.20906347,0.016452357,-5.611369e-05
0.22430655,0.015231872,-8.649751e-05
0.19934367,0.017321154,-2.3205235e-05
0.20898065,0.011256443,-2.7152626e-05
0.21969345,0.011846962,-8.100007e-05
0.17051058,0.00063198956,-8.23591e-05
0.1714658,0.04506839,-3.206924e-05
0.12323416,0.007460372,-0.00017791695
0.06485438,-0.012621808,-0.00015386174
0.33004957,0.029919434,-0.00026922085
0.13639443,0.020423787,-0.00016160824
-0.12273926,0.026044173,-9.68224e-05
0.17921671,-0.05384812,-0.00020479535
0.098612376,0.028160369,-8.693104e-05
0.03500389,0.027804147,-0.0001603631
0.07513589,-0.026595326,-9.233704e-05
0.093828596,0.006357612,-0.00015346002
0.01134511,-0.008009351,-8.4387066e-05
-0.058143944,0.0030708038,-5.078743e-05
0.0071158996,-0.00995362,-2.3580189e-05
-0.04316154,-0.021149913,-3.616651e-05
-0.08691502,0.00057189714,-9.456568e-05
-0.014367048,-0.0037516889,-7.580477e-05
-0.037240572,-0.00824382,-9.083206e-05
-0.05749446,-0.019341761,5.8497636e-07
-0.058879763,-0.011295011,-7.556583e-05
-0.039121438,0.003217306,-0.00011420144
-0.04145735,-0.0022114802,-0.00013581986
-0.067869134,-0.0126339095,-2.517646e-05
-0.11362824,0.003955529,-7.7188604e-05
-0.034070592,0.011927652,-9.425404e-05
-0.054602828,0.0031815607,-0.0001904342
-0.12825564,-0.016371679,9.090851e-06
-0.4049917,-0.043917287,6.711298e-05
-0.5658765,-0.037320383,0.00019815512
-0.65755725,-0.05679982,0.00012404214
-0.6158123,-0.11733529,0.00022327759
-0.7786953,-0.04373387,0.00015213982
-0.6280985,-0.07310862,4.4362794e-05
-0.59275603,-0.06755146,3.3239667e-05
-0.6800814,-0.018521925,2.5560794e-05
-0.5944806,-0.08379188,6.690887e-05
-0.6225473,-0.100332126,2.589351e-05
-0.6939612,-0.03977436,-1.3067743e-05
-0.6639349,-0.08389043,-1.0229152e-05
-0.5816132,-0.08715074,-4.4928198e-05
-0.60762626,-0.057121653,-5.556781e-05
-0.6434534,-0.04507246,-8.9889145e-06
-0.55904263,-0.043682296,-4.9193262e-05
-0.5742381,-0.05030879,-4.0629162e-05
-0.5898282,-0.01762132,-1.9141233e-05
-0.55392444,-0.014209658,-4.115963e-05
-0.5243857,-0.011255827,-1.961382e-06
-0.52075726,0.0007172291,-4.0503168e-05
-0.49750084,0.0032338996,-3.0205434e-05
-0.4584447,0.018404739,-2.1362548e-05
-0.4587018,0.021250347,-3.381083e-05
-0.43627954,0.011692359,-7.541398e-05
-0.43529016,0.021841206,-3.9657647e-05
-0.4116322,0.018356722,-8.221852e-05
-0.41997087,0.017308678,-2.2119486e-05
-0.37436864,0.018807597,-5.0429328e-05
-0.36339542,0.008021315,1.0262409e-05
-0.34397936,0.013086301,-1.7659884e-06
-0.3416601,0.018888766,1.2685012e-05
-0.3274916,0.0064695077,-2.5306183e-05
-0.3293728,-0.006612072,-3.481494e-05
-0.32519585,0.0035740228,0.00016723134
-0.26689675,-0.005818293,-0.00023283211
-0.30420336,-0.002294466,-0.00018540134
-0.3058489,-0.0056501324,-3.2102773e-05
-0.28120658,-0.024962999,-0.00027183688
-0.30145302,-0.005292739,-0.00022389769
-0.28222945,-0.023718493,5.2330274e-06
-0.2922801,-0.016272495,-4.9724902e-05
-0.30712932,-0.02443023,-9.0444395e-05
-0.2820836,-0.029690728,-7.419192e-06
-0.2834112,-0.026833447,-1.6420623e-05
-0.29050863,-0.033844642,-2.8590332e-05
-0.28269055,-0.026374176,-1.1364448e-05
-0.28040162,-0.04612751,-0.00013104184
-0.28914344,-0.03129377,-0.00021306344
-0.2708662,-0.035616346,-0.00024407935
-0.27828538,-0.044479318,-0.00025270178
-0.30192268,-0.034375478,-0.00025158533
-0.27224445,-0.05087081,-0.0001285037
-0.30592504,-0.028083073,-0.0001444382
-0.2841988,-0.042431735,-0.0001963435
-0.2892049,-0.035735082,-0.00028316324
-0.30135295,-0.033916693,-0.000119834585
-0.29814857,-0.030545771,-8.988887e-05
-0.29609522,-0.023982905,-8.9800305e-05
-0.29980704,-0.025167417,-9.178377e-05
-0.28606558,-0.016474508,-0.00011408764
-0.29412577,-0.025205338,-5.340482e-05
-0.32309738,-0.0022385616,-0.00012275088
-0.2998258,-0.011988726,0.00017191844
-0.3006468,0.0009883555,-0.00012348041
-0.31530344,-0.004806245,-7.142438e-05
-0.30421087,-0.009404256,-7.4292766e-05
-0.3222402,0.0076573053,-0.0001834463
-0.2901707,-0.005290736,-0.00018557634
-0.31582263,0.007077768,-0.00011014599
-0.30949745,-0.0037874216,-0.00018513075
-0.31541246,0.0114922,-0.00024420297
-0.31576565,0.00850848,-0.00018825493
-0.30917332,0.005817536,-0.00014854164
-0.30792952,0.001561188,-0.00017345765
-0.31130168,0.0017964572,-0.00021092236
-0.3108458,0.005130084,-0.00020683902
-0.28514808,-0.0132010365,-0.00010469413
-0.3161543,-0.004249951,-0.00017929517
-0.27868932,-0.019506503,1.420784e-05
-0.29236773,0.0015514742,-0.00017716164
-0.253353,-0.025693996,4.17843e-05
-0.2670153,-0.020807516,-7.825303e-05
-0.2904351,-0.029510757,-4.8872666e-05
-0.26233497,-0.0325521,-0.00010372047
-0.25276625,-0.0311842,-7.466566e-05
-0.269933,-0.045875464,-3.0419615e-05
-0.26297867,-0.0402419,-0.00012416218
-0.26041245,-0.052087404,-4.651107e-06
-0.2889368,-0.03158579,-0.00015163899
-0.25003695,-0.061992276,-0.00011780875
-0.28861713,-0.03299968,-0.00023067358
-0.28328836,-0.05144474,-0.0001105058
-0.28533673,-0.037292916,-0.00029218508
-0.30721623,-0.030127218,-0.00017349575
-0.2632848,-0.0467204,-0.00036632433
-0.36036554,-0.015118099,-0.00012367872
-0.3192316,-0.03782518,-0.0002840832
-0.34143084,-0.013345997,-0.00030552954
-0.31737894,-0.024929035,-0.00015705038
-0.3598045,-0.004137146,-0.00023485396
-0.351821,-0.011385044,-0.00022185488
-0.34372786,-0.0005340312,-0.00024352607
-0.33927023,-0.015280344,-0.0003348466
-0.39869055,0.008308636,-0.00022510388
-0.35998186,-0.009691167,-5.5221422e-05
-0.3557476,-0.0060088737,-0.00035076772
-0.35607484,0.0022182518,-0.0001075664
-0.30290276,-0.018062824,-0.00022608128
-0.40303007,0.01550146,0.00023794363
-0.33086804,-0.027116297,-0.00018169414
-0.3788942,0.0049733277,-0.00039257848
-0.3103765,-0.0068039265,-3.8737908e-05
-0.334599,-0.0047556316,-0.00012404643
-0.35829735,-0.018572649,-4.539628e-05
-0.3636605,-0.005796126,-6.957675e-05
-0.3097741,-0.018304715,-0.0001753253
-0.34725985,-0.004870203,-0.00026594152
-0.31255004,-0.028878083,-0.00020881019
-0.33756068,-0.022198021,-0.00068539224
-0.3768089,-0.014384084,-0.00027712865
-0.29884118,-0.0400916,-0.0005693271
-0.3856042,-0.010231211,-0.00012694587
-0.30009717,-0.0562986,-0.00034894838
-0.36030823,-0.028537288,-0.0006679109
-0.3208267,-0.04600475,-0.00017803008
-0.33462125,-0.040782552,-0.00042505676
-0.38872188,-0.051418275,-0.00027643185
-0.32998702,-0.051452354,-0.00049492985
-0.33888516,-0.043133005,-0.0002187643
-0.33331892,-0.04890334,-0.00035020226
-0.40089414,-0.0363248,-0.00011305973
-0.37531853,-0.05330581,-0.00021198193
-0.41675672,-0.022666087,-0.00029496074
-0.31226155,-0.048731778,-0.0002408584
-0.4204462,-0.010218654,-0.00020697368
-0.4327694,-0.02710578,-0.00018124472
-0.45179766,-0.014968939,-0.00031447192
-0.3913902,-0.022461334,-0.00030609913
-0.41880322,-0.005677567,-0.0001672455
-0.3909209,-0.011154907,-6.925369e-05
-0.44436914,-0.0036063422,-0.00023703148
-0.43641227,0.014102559,-0.00012819502
-0.36414436,-0.023931291,-0.0003464097
-0.48739275,0.021083727,-0.00019991709
-0.41150588,-0.010814838,-0.00019590287
-0.46832463,0.01678801,-0.00013343184
-0.39938354,-0.0060943146,-0.00018736337
-0.44029632,0.00059279014,-0.00015347968
-0.46330065,0.0024848932,-0.00016838804
-0.42082295,-0.015826058,-0.00024903746
-0.45723557,-0.015073205,-0.00016499654
-0.4325363,-0.012962691,-0.00018477396
-0.43753517,-0.028868917,-0.00024990033
-0.502026,-0.011423934,-0.00044237968
-0.43181187,-0.038578473,-0.00082488114
-0.44528547,-0.034015458,-0.0015034513
-0.52274996,-0.022806924,-0.0012352541
-0.462697,-0.05882319,-0.00106035
-0.5688953,-0.036304347,-0.0013640258
-0.4495067,-0.07214606,-0.0013546379
-0.5043845,-0.04437224,-0.00140417
-0.519372,-0.07434069,-0.0013333034
-0.6118705,-0.046794068,-0.0015042524
-0.5306841,-0.07343305,-0.0013885505
-0.5874269,-0.04848632,-0.0015177814
-0.5432578,-0.06953081,-0.0013488942
-0.5920647,-0.05819014,-0.001496209
-0.6664657,-0.03521203,-0.0014405648
-0.59198475,-0.06394439,-0.0014961284
-0.6709792,-0.03950075,-0.0016068419
-0.6497777,-0.058650713,-0.0014325435
-0.71947956,-0.034342665,-0.0015923457
-0.69001013,-0.049533624,-0.0012941561
-0.73061776,-0.031709436,-0.0014014244
-0.71284306,-0.045536745,-0.0012680334
-0.7876803,-0.015559846,-0.001548355
-0.72685885,-0.054733347,-0.0013745956
-0.8221121,-0.01678601,-0.0014593744
-0.79420197,-0.03808347,-0.0011466661
-0.8615014,-0.033140372,-0.0015198335
-0.8695016,-0.012688894,-0.0010598582
-0.80563897,-0.043199275,-0.00035658988
-0.97599435,-0.00706668,-0.00027631267
-0.9010521,-0.04285926,-0.0003512254
-0.9760279,0.017486287,-0.00013629331
-0.8255507,-0.042696904,-3.375989e-05
-0.86979264,-0.014131224,-0.00010486853
-0.82362604,-0.06253164,-0.000114239716
-0.9064889,-0.02858309,-0.0001396466
-0.9081826,-0.020989293,-0.00020884899
-0.8284346,-0.049391285,-0.00019777768
-0.79933304,-0.047634587,-0.00025176525
-0.81762606,-0.07336259,-0.0003196775
-0.91599435,-0.030090716,-0.00021597068
-0.7793592,-0.08247802,-0.00036478153
-0.8971256,-0.051053632,-0.00028429285
