X,Y,Z
-0.24485722,0.0112082055,-0.00019662835
-0.2761062,0.020276573,-0.00012900468
-0.26054275,0.008142643,-0.0001960669
-0.29097986,0.012991116,-0.00023895758
-0.28313288,0.0044350596,-0.00020686815
-0.21102351,-0.0042725373,-0.0001528312
-0.30912444,0.0019164796,-0.00026225066
-0.2575216,-0.016512813,-0.00023116537
-0.27445954,-0.006608453,-0.00013961013
-0.16931179,-0.018785419,-4.9920687e-05
-0.21214852,-0.019068183,-8.444033e-05
-0.22472689,-0.0229376,-0.00010330526
-0.2291824,-0.028910717,-0.00018097975
-0.19670264,-0.037667356,-0.00023063227
-0.18065125,-0.03816585,-0.00037230726
-0.14310877,-0.048212882,-0.00034368061
-0.20088437,-0.037355337,-0.00032470524
-0.23475593,-0.046221763,-0.000115736635
-0.15031691,-0.046805363,-3.2266275e-05
-0.18595108,-0.041241005,-0.00017589508
-0.17175587,-0.057105135,-2.3334605e-05
-0.27076274,-0.035285998,-0.00011064852
-0.16596901,-0.05232709,-4.4536e-05
-0.16371183,-0.028146666,-1.06652205e-05
-0.20445089,-0.036821436,-1.9452147e-05
-0.16328697,-0.027539773,-5.6025267e-05
-0.27575764,-0.034099404,-0.00028512636
-0.17472288,-0.028982813,-0.0002894428
-0.33844876,-0.018545166,-0.00047658174
-0.29214084,-0.035109717,-0.0003011917
-0.52393,-0.008438911,-0.0002607624
-0.48191053,-0.0034005602,9.372499e-07
-0.5487195,0.097098574,2.9283381e-05
-0.529864,0.013407313,-0.000105140156
-0.44878995,-0.17461886,0.00072064775
-0.4408182,1.593356,0.0014256431
-0.47764716,0.57925296,0.0006874894
-1.2222402,-0.08811512,0.00012346264
-1.251793,-0.15132353,-0.0015515307
-0.8858013,0.038206667,0.0008497111
-2.2088108,-0.22849685,-0.0045089503
-2.2327316,-0.059509613,-0.0026411777
-2.4381714,-0.19253664,-0.00042403964
-2.2202737,-0.18607543,-0.00029035163
-2.1451335,-0.17368738,-0.00044683268
-1.89516,-0.20324314,0.000289282
-2.137806,-0.16127627,-0.0004906338
-2.0837836,-0.1727315,-0.0002247446
-1.9312949,-0.15384096,0.0007084898
-1.9481878,-0.17531368,-0.0002045265
-1.8103807,-0.21054369,0.00051015534
-1.7831837,-0.17825586,-0.00047188762
-1.7100911,-0.12954332,-0.000501229
-1.8361596,-0.117664844,-0.00039184047
-1.7152783,-0.15696013,-0.0004761622
-1.7262714,-0.13823858,-0.00055490306
-1.7634531,-0.10050182,-0.00070167397
-1.7020844,-0.082225084,4.5996498e-05
-1.7283689,-0.06280896,-0.0005263474
-1.7109034,-0.038266324,-0.0005045214
-1.6859545,-0.021416184,-0.0004260732
-1.7590235,-0.0028028756,-0.00040520023
-1.7559522,0.038363907,-0.0006549185
-1.622076,-0.008873421,-0.00056045543
