Distance,Confidence
6722,0
6721,0.99959
6721,0.999898
6726,0.997864
6726,0.998264
6726,0.997815
6729,0.996521
6729,0.996656
6731,0.995352
6731,0.995168
6731,0.994642
6733,0.993596
6733,0.993659
6737,0.991655
6737,0.991471
6737,0.990268
6738,0.989862
6738,0.99113
6744,0.990702
6744,0.990986
6744,0.990111
6771,0.980513
6771,0.965216
6770,0.947931
6770,0.939358
6770,0.937075
6779,0.938172
6779,0.941285
6771,0.947127
6771,0.959836
6776,0.970432
6776,0.980234
6767,0.987521
6767,0.993781
6758,0.996632
6758,0.998522
6756,0.999391
6756,0.999519
6756,0.99963
6747,0.999517
6747,0.999419
6746,0.999288
6746,0.999275
6746,0.999318
6737,0.99925
6737,0.99922
6737,0.99928
6729,0.999375
6729,0.999379
6717,0.999338
6717,0.99918
6717,0.999042
6696,0.998832
6696,0.998483
6672,0.998054
6672,0.997104
6672,0.996316
6657,0.995721
6657,0.995058
6643,0.994654
6643,0.993984
6629,0.99363
765,0.956738
776,0
776,0
769,0
769,0
770,0
770,0
771,0
771,0
771,0
774,0
774,0
799,0
799,0
799,0
824,0.999031
824,0.998417
837,0.997632
837,0.996673
837,0.995955
848,0.995426
848,0.994892
875,0.994459
875,0.993588
875,0.993148
890,0.993217
890,0.99333
908,0.993984
908,0.993545
936,0.993479
936,0.993129
965,0.992127
965,0.990561
965,0.989238
995,0.988638
995,0.987597
1027,0.986825
1027,0.985564
1027,0.98401
1059,0.98354
1059,0.982676
1091,0.982101
1091,0.98124
1091,0.980854
1110,0.982209
1110,0.982048
1121,0.983381
1121,0.983536
1121,0.984975
1140,0.987647
1140,0.988611
1190,0.990313
1190,0.988714
1190,0.98828
1213,0.989177
1213,0.988132
1235,0.988123
1235,0.986332
1269,0.985344
1269,0.983667
1288,0.982091
1288,0.980835
1288,0.980381
1330,0.981213
1330,0.981371
1352,0.98174
1352,0.982867
1352,0.981931
1373,0.982322
1373,0.983195
1395,0.983698
1395,0.984624
1395,0.98537
1443,0.987239
1443,0.985567
1496,0.984946
1496,0.980898
1496,0.978922
1534,0.979112
1534,0.975303
1565,0.973376
1565,0.969522
1585,0.967871
1585,0.967271
1626,0.967121
1626,0.966449
1675,0.966284
1675,0.965019
1707,0.967604
1707,0.965618
1707,0.967305
1728,0.966646
1728,0.967023
1728,0.970258
1742,0.972099
1742,0.975365
1742,0.977675
1835,0.981146
1835,0.978643
1835,0.979032
1946,0.977758
1946,0.967465
1946,0.957077
2002,0.950419
2002,0.937723
1761,0.928006
1761,0.933955
1763,0.936449
1763,0.939156
1769,0.941882
1769,0.943872
2031,0.944228
2031,0.938191
2112,0.927526
2112,0.907965
2112,0.89216
2163,0.876736
2163,0.855005
2163,0.835571
1459,0.814687
1464,0.721134
1464,0.645332
1464,0.574398
1464,0.508186
1464,0.446941
1464,0.390347
1464,0.33892
1464,0.318949
1464,0.316839
1523,0.357798
1523,0.43045
1602,0.521513
1602,0.65752
1602,0.810517
1632,0.980811
1632,0.975145
1670,0.970465
1670,0.964133
1670,0.959922
1687,0.957962
1687,0.957139
1719,0.958772
1719,0.961055
1719,0.96675
1747,0.975882
4738,0.9604
4714,0
4714,0
4714,0
4687,0
4687,0
4658,0
4658,0
4658,0
4644,0
4644,0
4615,0
4615,0
4577,0
4577,0
4538,0.985322
4538,0.98301
4499,0.980596
4499,0.977029
4461,0.97555
4461,0.971129
4461,0.969308
4421,0.967406
4421,0.964575
4379,0.964352
4379,0.96217
4379,0.963628
4335,0.965084
4335,0.966292
4291,0.966501
4291,0.966299
4291,0.965531
4240,0.967833
4240,0.964828
4240,0.965231
4194,0.964735
4194,0.963272
4194,0.965482
4120,0.96623
4120,0.963432
4120,0.960122
4072,0.96024
4072,0.959721
4022,0.95805
4022,0.955232
4022,0.951959
3971,0.952388
3971,0.952031
3918,0.949817
3918,0.946069
3918,0.947751
3881,0.948256
3881,0.949617
3877,0.956165
3877,0.957149
3877,0.961388
3839,0.96867
3839,0.970849
3839,0.975807
3803,0.977777
3803,0.979791
3803,0.984244
3760,0.985627
3760,0.986412
3723,0.984697
3723,0.982003
3723,0.981191
3685,0.979408
3685,0.976553
3647,0.975036
3647,0.972795
3647,0.973255
3605,0.972587
3605,0.971029
3605,0.972251
3564,0.972435
3564,0.972041
3526,0.974326
3526,0.97221
3526,0.972899
3485,0.972545
3485,0.971492
3446,0.973086
3446,0.970674
3446,0.971192
3402,0.970627
3402,0.969091
3359,0.970347
3359,0.966789
3359,0.966325
3314,0.968941
3314,0.966653
3268,0.967268
3268,0.963098
3268,0.962338
3222,0.964989
3222,0.962544
3178,0.963379
3178,0.959471
3178,0.959277
3130,0.962774
3130,0.96058
3130,0.962197
3089,0.962386
3089,0.962298
3039,0.96569
3039,0.963054
3039,0.964307
2997,0.963904
2997,0.963023
